id,habitat_element,habitat_element_type,size,location,measure_description,maintenance,combined_with
dichte_straeucher,Dichte Sträucher,Vegetation,Gehölzhöhe von 2-3 m,,"Anpflanzung von vorwiegend einheimischen Sträuchern mit dichtem Wuchs, z.B. Haselnuss (Corylus avellana), Schlehe (Prunus spinosa), Hainbuche (Carpinus betulus), Purpurweide (Salix purpurea), Gemeiner Liguster (Ligustrum vulgare), Traubenkirsche (Prunus padus). Wildarten haben in der Regel einen höheren ökologischen Wert für einheimische Tiere und sind daher Zuchtsorten vorzuziehen.",Sträucher sollten sich wenn möglich frei entwickeln können und sollten nur bei Bedarf einem Pflegeschnitt unterzogen werden.,Nadelbäumen
wild_hecken,(Wild-)Hecken,Vegetation,"Gehölzhöhe von 2-3 m; Breite mind. 1,5m-3 m; Länge mind. 5 m",,"Anpflanzung von vorwiegend einheimischen Sträuchern in einer dichten, linearen Anordnung. Wildarten haben in der Regel einen höheren ökologischen Wert für einheimische Tiere und sind daher Zuchtsorten vorzuziehen. Sie dienen als mögliche Vernetzungsstruktur für viele Tierarten und bieten einen Flucht- und Rückzugsraum. Blüten, Beeren und Samen sind wichtige Nahrungsquellen.","Die Sträucher von heckenartigen Randstrukturen sollen alle 10 Jahre (spätestens 15 Jahre) während der Wintermonate auf Stock gesetzt werden. Beim Schnitt anfallendes Astmaterial und Schnittgut soll, wenn möglich, für den Aufbau und die Instandhaltung der Totholz- und Laubschichtungen verwendet werden. Der Gehölzschnitt sollte nicht in der Hecke und im Saumbereich verbleiben, dies würde zu einer Nährstoffanreicherung und zur Förderung nitrophiler Saumgesellschaften mit Brennnessel führen. Das auf den Stock setzen von Gebüschstrukturen sollte in einem Abstand von mind. 3 Jahren abschnittsweise erfolgen, sodass schattenangepasste Tierarten ausweichen können und Schattenpflanzen nach einigen Jahren aus diesen Bereichen die aufgewachsene Hecke wieder besiedeln können. Das abschnittsweise auf Stock setzten führt zur Ausbildung von Gebüschstrukturen mit verschiedenen Entwicklungsstadien mit jeweils anderen Pflanzengesellschaften im Unterwuchs und dadurch zu größerer Biodiversität und größerem Strukturreichtum. Je nach Entwicklungsziel werden Gehölze, die sich zu Bäumen (sogenannten Überhältern) entwickeln sollen, vom Rückschnitt ausgespart. Immergrüne Sträucher wie Liguster (Ligustrum vulgare) sollen sich frei entwickeln können und bedürfen keiner Pflege. Sollte dies nicht möglich sein, kann ein gezielter Rückschnitt im August erfolgen. Dabei ist darauf zu achten, die Seiten im Wechsel zu schneiden. Im ersten Jahr ist eine Seite der Pflanze zu schneiden, während die andere Seite bis ins Folgejahr stehen bleibt und erst dann geschnitten wird. (Reif et al. 1990; Ringenberg 2000)",Nadelbäumen; Krautsaum
straeuchergruppen_straeucher_clumps,Sträuchergruppen (Sträucher-Clumps),Vegetation,Gehölzhöhe von 2-3 m; Breite mind.3-5 m; Länge mind.3-5 m,,"Bei der Anlage von Sträucher-Clumps ist die Gehölzpflanzung nicht flächendeckend auszuführen, sondern sollte Lücken mit dichter Krautschicht aufweisen (Höhe bis max. 50 cm). Um Tieren ausreichend Ruhezonen und sichere Rückzugsgebiete zu bieten, sollte ein Teil der Sträucher für Menschen und Hunde unzugänglich gestaltet werden, z.B. durch die Pflanzung von dornigen Sträuchern (als natürlicher Schutz). Geeignete Gehölze sind u.a. Berberitze (Berberis vulgaris), Hundsrose (Rosa canina), Weißdorn (Crataegus monogyna und C. laevigata), Schlehe (Prunus spinosa), Brombeere (Rubus fruticosus), Sanddorn (Hippophae rhamnoides), Kreuzdorn (Rhamnus cathartica).","Bei der Entwicklungspflege ist kein Rindenmulch in die Lücken und an den Sträuchern einzubringen. Durch mangelnde Pflege kommt es an vielen Gehölzrändern durch die Ausbreitung der angrenzenden Gehölzbestände zu einer Verbuschung. Durch zu häufiges Mähen und Mulchmahd erfolgt oft eine Vergrasung von Krautsäumen. Durch richtiges Mähen und vor allem die Entfernung des Mahdguts ist eine langfristige Abmagerung zu erwarten und eine weitere Nähstoffanreicherung wird unterbunden. Krautsäume werden 1x jährlich abschnittsweise im Abstand von 8-10 Wochen im Frühjahr (März) gemäht. Der Frühjahrszeitpunkt widerspricht den Angaben vieler Leitfäden zum Mähen von Wiesen, ermöglicht es aber für Tiere Nahrung und Quartiere im Herbst und Winter bereitzustellen. Dieser Mähzeitpunkt weicht vom Mährhythmus der anschließenden Wiesen ab. Sollte es aus logistischen Gründen nicht möglich sein einen Krautsaum separat zu mähen, sollte die Mahd gemeinsam mit der ersten Wiesenmahd Ende Mai bis Mitte Juli erfolgen. Bei der Bewirtschaftung sind keine Kreiselmäher, Motorsensen, Mulch- oder Mähroboter, sondern tierschonende Handsensen, Balken- oder Spindelmäher einzusetzen. Wird bei der Mahd ein herkömmlicher Rasenmäher eingesetzt, sollte die Mahd immer von innen nach außen erfolgen und die Fläche vor der Mahd auf Tiere kontrolliert werden. Die Schnitthöhe ist auf mind. 15 cm zu setzen. Das Mahdgut soll nach der Mahd einige Zeit (3 Tage bis 1 Woche) auf der Fläche trocknen, um Insekten und Kleinorganismen das Verlassen und Blütenpflanzen das Versamen zu ermöglichen. Anschließend ist es von der Fläche zu entfernen. Stauden unter Sträuchern sind in einem Winterrückschnitt bei starkem Wuchs und Bedarf im Februar zu mähen. (Kiehl & Kirmer 2017; Kollmann et al. 2019; Hemmann et al. 1987; Oppermann & Claßen 1998; Witt 2019; Unterweger et al. 2015; Bund Darmstadt o. J.)",
baeume,Bäume,Vegetation,,,"Anpflanzung von vorwiegend einheimischen, klimaresilienten Bäumen. Wildformen haben in der Regel einen höheren ökologischen Wert für die einheimische Tierwelt und sind daher Zuchtsorten vorzuziehen.",,
laubgehoelze,Laubgehölze,Vegetation,,,"Anpflanzung von vorwiegend einheimischen, klimaresilienten Laubgehölzen. Wildformen haben in der Regel einen höheren ökologischen Wert für die einheimische Tierwelt und sind daher Zuchtsorten vorzuziehen.",,
streuobstwiese,Streuobstwiese,Vegetation,mind. 3-4 Bäume im Abstand von ca. 5-10 m,,Anpflanzung von vorwiegend einheimischen Obstbäumen in Gruppen von mind. 3-4 Bäumen mit einem Abstand von ca. 5-10 m.,"Bei der Pflege von Obstgehölzen kommt zusätzlich zur allgemeinen Baumpflege, Verkehrssicherung und Laubsammeln die Entfernung von Fallobst hinzu. In den ersten Jahren nach Pflanzung fallen außerdem je nach Alter der Obstbäume mehrere differenzierte Pflegeschnitte für eine arttypische Kronenentwicklung an. Die Erziehungspflege sollte alle 1-2 Jahre wiederholt mindestens für die ersten 15 Jahre eingeplant werden. Falls die dafür nötige Fachkenntnis nicht gewährleistet werden kann, sollte die Pflanzung bereits entwickelter Hochstämme (ca.15 Jahre) erfolgen, die keine sog. „Erziehungsschnitte“ mehr brauchen (Anderßon, 2019). Im Anschluss sind in regelmäßigen, mehrjährigen Abständen fachgerechte Instandhaltungsschnitte durchzuführen. Im Alter (ab 40 Jahren) ist verstärkt auf die Totholzentwicklung und somit die Gesunderhaltung der Bäume zu achten. Alternativ zu den Kulturformen empfiehlt sich, wenn der Fruchtgenuß nicht von Bedeutung ist, die Wildarten von Obstgehölzen zu verwenden. Diese sind weniger aufwendig in der Pflege, weisen ähnliche Eigenschaften bzgl. der Funktionalität für Tierarten auf und haben ähnliche ästhetische Qualitäten. Einige der Wildarten haben einen eher strauchförmigen Wuchs, daher sollten bereits als Hochstamm gezogene Exemplare gepflanzt werden.",Blumenwiese; Blumenrasen
junge_nadelbaeume,(Junge) Nadelbäume,Vegetation,,,"Anpflanzung von vorwiegend einheimischen Nadelgehölzen, z.B. Weißtanne (Abies alba), Fichte (Picea albies), Kiefer (Pinus sylvestris), Eibe (Taxus baccata), Wacholder (Juniperus communis).",,Dichte Sträucher; dichte Hecken
baumgruppen,Baumgruppen,Vegetation,mind. 3-4 Bäume im Abstand von max. 5m,,Anpflanzung von vorwiegend einheimischen Bäumen in Gruppen von mind. 3-4 Bäumen mit einem Abstand von max. 5m.,,Blumenwiese; Blumenrasen; Sträucher; Staudenfläche
kletterpflanzen_selbstklimmer,Kletterpflanzen Selbstklimmer,Vegetation,,,"Anpflanzen von vorwiegend einheimischen selbstklimmenden Kletterpflanzen, z.B. Efeu (Hedera helix).","Pflege und Erhaltungschnitt nach 5-10 Jahren, außerhalb der Vogelbrutzeit.",Nisthilfen; Gründach und Pflanzung im Freiraum
kletter_und_schlingpflanzen_mit_rankgeruest,Kletter- und Schlingpflanzen mit Rankgerüst,Vegetation,,,"Anpflanzen von vorwiegend einheimischen Kletter- und Schlingpflanzen, z.B. Alpen-Waldrebe (Clematis alpina), Hopfen (Humulus lupulus), Echtes und Wald-Geißblatt (Lonicera caprifolium, L. periclymenum), Echter Wilder Wein (Vitis sylvestris). Auf keinen Fall verwenden, da invasiver Neophyt: Henrys Geißblatt (Lonicera henryi).","Pflege und Erhaltungschnitt nach 5-10 Jahren, außerhalb der Vogelbrutzeit.",Nisthilfen; Gründach und Pflanzung im Freiraum
gartenbeete,Gartenbeete,Vegetation,,,"Anlegen von Gartenbeeten mit Gemüsepflanzen und Kräutern, die über offenen Bodenstellen wachsen, z.B. Möhre, Dill, Fenchel, Kleine Pimpinelle oder Pastinake",,
senkrecht_stehende_pflanzenstaengel_zweige,Senkrecht stehende Pflanzenstängel /Zweige,Vegetation,,in Bodennähe,"Stängel von Kräutern und Stauden sollten im Herbst nicht geschitten werden, um daran überwinternde Insekten nicht zu entfernen","Über den Winter stehen lassen, Vorsicht beim Unkraut jäten",
doldengewaechse,Doldengewächse,Vegetation,,"sonnig, trocken","Anpflanzung oder Ansaat von Doldenblütlern an sonnigen, trockenen Standorten, z.B. Wiesenkerbel (Anthriscus sylvestris), Wilde Möhre (Daucus carota), Wiesen-Bärenklau (Heracleum sphondylium), Echter Pastinak (Pastinaca sativa), Kleine Pimpinelle (Pimpinella saxifraga).",Mahd / Rückschnitt frühestens Anfang August,
bestaende_von_blaukissen_aubrieta,Bestände von Blaukissen (Aubrieta),Vegetation,Mind. 2m2,"sonnig bis halbschattig, trocken","Anpflanzen von Blaukissen-Arten, z.B. Blaukissen (Aubrieta gracilis), Griechisches Blaukissen (Aubrieta deltoidea), in größeren Beständen",Abgestorbene Pflanzenteile schützen die Pflanze und werden von Insekten zum Überwintern genutzt. Daher sollten Stauden erst im Frühjahr (Ende März) zurückgeschnitten werden. Abgestorbenes Pflanzenmaterial sollte ca. handhoch über den Boden abgeschnitten werden.,
flache_wasserstelle,Flache Wasserstelle,Ausstattungselement,Mind. Durchmesser 30 cm und Tiefe 2 - 5cm,,"Wasserstellen sollten an mind. 1 Seite mit einem flach auslaufendem Ufer beschaffen sein, so dass hineinfallende Tiere selbständig einen Ausstieg finden. Die Wasserstellen sollten seichtes Wasser aufweisen und für Vögel, Kleinsäuger und Reptilien gut einsehbar sein. Unter der Wasserstelle ist eine Schutzschicht aus Sand und Kies (D ≥ 50 mm), eine Kunststoffdichtungsbahn mit Schutzvlies (D 1,2 - 1,5 mm) und eine Ausgleichs- und Schutzschicht aus Sand (D ≥ 50 mm) aufzubringen. Alternativ können spezielle Vogel-, Kleinsäuger- oder Insektentränken aufgestellt werden. Tränken für Vögel sollten idealerweise an einem schattigen Platz aufgestellt oder aufgehängt werden. Auch Balkone eignen sich sehr gut als Standort. Außerdem sollten keine Büsche oder größere Pflanzen in unmittelbarer Nähe vorhanden sein, die potentiellen Räubern als Versteck dienen könnten.","Künstliche Wassertränken sind einmal wöchentlich zu säubern und mit frischem Trinkwasser zu befüllen. Bei heißen Temperaturen im Sommer muss der Austausch von Wasser und die Reinigung in kürzeren Intervallen (bis zu täglich) erfolgen. Dafür wird die Tränke mit einer Bürste und heißem Wasser (100°C) gesäubert und anschließend mit kaltem Trinkwasser befüllt. Es dürfen keine chemischen Mittel zum Einsatz kommen (LBV). Das Bereitstellen von Wassertränken ist das ganze Jahr über wünschenswert, im Besonderen jedoch in den Sommermonaten zwischen Mai und September.",
sandflaeche_mindeststiefe_2_cm,Sandfläche (Mindeststiefe 2 cm),Ausstattungselement,Mind. 50 x 50 cm und Tiefe mind. 2 cm,"sonnig, trocken","Vegetationsfreie Flächen mit trockenem, feinem Sand als Staubbad für die Gefiederpflege. Diese können durch Einbringen von Sand mit einer Mindesttiefe von 2 cm u.a. in offenen Baumscheiben, auf Ruderalflächen oder Magerrasen angelegt werden. Es sollten keine Büsche oder größere Pflanzen in unmittelbarer Nähe vorhanden sein, die potentiellen Räubern als Versteck dienen könnten.",Die Flächen sind regelmäßig von aufkommender Vegetation zu befreien. Dies kann händisch durch Herausziehen der Pflanzen aus der Erde oder mithilfe einer Harke erfolgen. Es dürfen keine Herbizide oder andere chemische Mittel eingesetzt werden. Bei Bedarf sind die Flächen mit neuem Sand aufzufüllen.,
unbefestigte_flaeche,Unbefestigte Fläche,Ausstattungselement,mind. 50 x 50 cm,"sonnig, trocken","Vegetationsfreie Flächen mit trockenem Sand, Erde oder ähnlichem Substrat als Staubbad für die Gefiederpflege. Diese können u.a. auf Wegen und Flächen mit wassergebundener Decke angelegt werden. Es sollten keine Büsche oder größere Pflanzen in unmittelbarer Nähe vorhanden sein, die potentiellen Räubern als Versteck dienen könnten.",Die Flächen sind regelmäßig von aufkommender Vegetation zu befreien. Dies kann händisch durch Herausziehen der Pflanzen aus der Erde oder mithilfe einer Harke erfolgen. Es dürfen keine Herbizide oder andere chemische Mittel eingesetzt werden.,
