id,habitat_element,image_url,image_alt,attribution,image_type
22,senkrecht_stehende_pflanzenstaengel_zweige,https://animal-aided-design.de/wp-content/uploads/2024/11/Falte_-Ueberwinterung.png,Senkrecht stehende Pflanzenstängel /Zweige,Studio Animal-Aided Design,portrait
23,doldengewaechse,https://animal-aided-design.de/wp-content/uploads/2024/11/Doldengewaechse.png,Doldengewächse,Studio Animal-Aided Design,portrait
24,bestaende_von_blaukissen_aubrieta,https://animal-aided-design.de/wp-content/uploads/2024/11/Blaukissen.png,Bestände von Blaukissen (Aubrieta),Studio Animal-Aided Design,portrait
25,flache_wasserstelle,https://animal-aided-design.de/wp-content/uploads/2024/11/Flache-Trinkstelle.png,Flache Wasserstelle,Studio Animal-Aided Design,portrait
26,sandflaeche_mindeststiefe_2_cm,https://animal-aided-design.de/wp-content/uploads/2024/11/Sandflaeche-Mindesttiefe-2cm.png,Sandfläche (Mindeststiefe 2 cm),Studio Animal-Aided Design,portrait
27,unbefestigte_flaeche,https://animal-aided-design.de/wp-content/uploads/2024/11/Unbefestigte-Flaeche.png,Unbefestigte Fläche,Studio Animal-Aided Design,portrait
28,sandlinse_sandbeet_mindesttiefe_50_cm,https://animal-aided-design.de/wp-content/uploads/2024/11/Sandbeet-50-cm.png,Sandlinse / Sandbeet (Mindesttiefe 50 cm),Studio Animal-Aided Design,portrait
29,sandlinse_sandbeet_mindesttiefe_30_cm,https://animal-aided-design.de/wp-content/uploads/2024/11/Sandbeet-30-cm.png,Sandlinse / Sandbeet (Mindesttiefe 30 cm),Studio Animal-Aided Design,portrait
30,breitere_pflasterfugen_aus_sand,https://animal-aided-design.de/wp-content/uploads/2024/11/Breitere-Fuge-aus-Sand.png,Breitere Pflasterfugen aus Sand,Studio Animal-Aided Design,portrait
31,steinschuettungen_steinhaufen,https://animal-aided-design.de/wp-content/uploads/2024/11/Steinhaufen-mit-Mulde_neu.png,Steinschüttungen / Steinhaufen,Studio Animal-Aided Design,portrait
32,trockenmauer,https://animal-aided-design.de/wp-content/uploads/2024/11/Trockenmauer.png,Trockenmauer,Studio Animal-Aided Design,portrait
33,steingabione,https://animal-aided-design.de/wp-content/uploads/2024/11/Steingabione.png,Steingabione,Studio Animal-Aided Design,portrait
34,horizontales_totholz,https://animal-aided-design.de/wp-content/uploads/2024/11/Horizontales-Totholz.png,Horizontales Totholz,Studio Animal-Aided Design,portrait
35,totholzgabione,https://animal-aided-design.de/wp-content/uploads/2024/11/Totholzgabione.png,Totholzgabione,Studio Animal-Aided Design,portrait
36,benjeshecke_totholzhecke,https://animal-aided-design.de/wp-content/uploads/2024/11/Benjeshecke.png,Benjeshecke / Totholzhecke,Studio Animal-Aided Design,portrait
37,reisig_laubhaufen,https://animal-aided-design.de/wp-content/uploads/2024/11/Reisig-Laubhaufen.png,Reisig-Laubhaufen,Studio Animal-Aided Design,portrait
38,futterstellen_fuer_voegel,https://animal-aided-design.de/wp-content/uploads/2024/11/Futterstellen-fuer-Voegel.png,Futterstellen für Vögel,Studio Animal-Aided Design,portrait
39,komposthaufen,https://animal-aided-design.de/wp-content/uploads/2024/11/Komposthaufen.png,Komposthaufen,Studio Animal-Aided Design,portrait
40,wildbienen_nisthilfe_aus_lehm,https://animal-aided-design.de/wp-content/uploads/2024/11/Nisthilfen-aus-Lehm-01.png,Wildbienen-Nisthilfe aus Lehm,Studio Animal-Aided Design,portrait
41,hoehlenkaesten_flugloch_32_34_mm_an_baeumen,https://animal-aided-design.de/wp-content/uploads/2024/11/Hoehlenkasten-Flugloch.png,Höhlenkästen Flugloch ∅ 32-34 mm an Bäumen,Studio Animal-Aided Design,portrait
42,hoehlenkaesten_flugloch_32_34_mm_an_fassaden,https://animal-aided-design.de/wp-content/uploads/2024/11/Hoehlenkasten-Flugloch.png,Höhlenkästen Flugloch ∅ 32-34 mm an Fassaden,Studio Animal-Aided Design,portrait
43,hoehlenkaesten_flugloch_32_48_mm_an_baeumen,https://animal-aided-design.de/wp-content/uploads/2024/11/Hoehlenkasten-Flugloch.png,Höhlenkästen Flugloch ∅ 32-48 mm an Bäumen,Studio Animal-Aided Design,portrait
44,hoehlenkaesten_flugloch_oval_30x50_mm_an_baeumen,https://animal-aided-design.de/wp-content/uploads/2024/11/Hoehlenkaste-Oval.png,Höhlenkästen Flugloch oval 30x50 mm an Bäumen,Studio Animal-Aided Design,portrait
45,halbhoehlenkaesten_durchgehender_schlitz_hoehe_50_mm,https://animal-aided-design.de/wp-content/uploads/2024/11/Halbhoehlenkasten.png,Halbhöhlenkästen durchgehender Schlitz Höhe 50 mm,Studio Animal-Aided Design,portrait
46,mauerseglerkaesten_flugloch_50_mm,https://animal-aided-design.de/wp-content/uploads/2024/11/Mauersegler-Flugloch-56.png,Mauerseglerkästen Flugloch ∅ 50 mm,Studio Animal-Aided Design,portrait
47,mauerseglerkaesten_flugloch_queroval_40x60_mm,https://animal-aided-design.de/wp-content/uploads/2024/11/Mauersegler-Flugloch-queroval.png,Mauerseglerkästen Flugloch queroval 40x60 mm,Studio Animal-Aided Design,portrait
48,spaltenquartiere_an_fassaden_wochenstuben,https://animal-aided-design.de/wp-content/uploads/2024/11/Spaltenquartier-an-Fassade-Wochenstube.png,Spaltenquartiere an Fassaden (Wochenstuben),Studio Animal-Aided Design,portrait
49,spaltenquartiere_unter_attika,https://animal-aided-design.de/wp-content/uploads/2024/11/Spaltenquartier-unter-der-Attika.png,Spaltenquartiere unter Attika,Studio Animal-Aided Design,portrait
50,isolierte_spaltenquartiere_an_fassade_winterquartier,https://animal-aided-design.de/wp-content/uploads/2024/11/Isolierte-Spaltenquartiere.png,Isolierte Spaltenquartiere an Fassade (Winterquartier),Studio Animal-Aided Design,portrait
51,gebaeudespalten_spaltenquartiere_an_fassaden_sommerquartier,https://animal-aided-design.de/wp-content/uploads/2024/11/Spaltenquartier-an-Fassade.png,Gebäudespalten/ Spaltenquartiere an Fassaden (Sommerquartier),Studio Animal-Aided Design,portrait
52,isolierte_spaltenquartiere_an_hohen_fassaden_winterquartier,https://animal-aided-design.de/wp-content/uploads/2024/11/Isolierte-Spaltenquartiere.png,Isolierte Spaltenquartiere an hohen Fassaden (Winterquartier),Studio Animal-Aided Design,portrait
53,spaltenquartiere_an_baeumen_sommerquartier,https://animal-aided-design.de/wp-content/uploads/2024/11/Spaltenquartiere-an-Baeumen.png,Spaltenquartiere an Bäumen (Sommerquartier),Studio Animal-Aided Design,portrait
54,spaltenquartiere_an_baeumen_wochenstuben,https://animal-aided-design.de/wp-content/uploads/2024/11/Spaltenquartiere-an-Baeumen.png,Spaltenquartiere an Bäumen (Wochenstuben),Studio Animal-Aided Design,portrait
55,extensive_dachbegruenung_praeriedach,https://animal-aided-design.de/wp-content/uploads/2024/11/Dachbegruenung_Praeriedach.png,Extensive Dachbegrünung - Präriedach,Studio Animal-Aided Design,portrait
56,extensive_dachbegruenung_steppendach,https://animal-aided-design.de/wp-content/uploads/2024/11/Extensive-Dachbegruenung-mit-Steppendach.png,Extensive Dachbegrünung - Steppendach,Studio Animal-Aided Design,portrait
57,extensive_dachbegruenung_pv_dach,https://animal-aided-design.de/wp-content/uploads/2024/11/Extensive-Dachbegruenung-mit-PV.png,Extensive Dachbegrünung - PV-Dach,Studio Animal-Aided Design,portrait
