id,attribute_value,sources,species,attribute_slug
,"Eiablage zwischen Ende Mai bis Anfang August auf besonnten vegetationsarmen/-freien Bodenflächen. 1 bis 2 Gelege pro Jahr sind die Regel (1. Gelege: Mai, 2. Gelege: Juni/Juli). Geeignete Eiablageplätze werden gelegentlich auch von mehreren Weibchen genutzt.",Zahn & Hansbauer 2019; ,Lacerta agilis,kurzcharakteristik_lebenszyklus_brut_und_aufzucht
,"Jungtiere verlassen nach der ersten Überwinterung ihren Geburtsort und suchen sich ein eigenes Revier. Dabei wandern sie nur soweit wie unbedingt nötig. Meist entfernen sie sich nicht weiter als 30 m von ihrem Schlupfort. Wanderungen von > 150 m sind die Ausnahme. Die zurückgelegten Strecken verlaufen ausschießlich durch für Zauneidechsen geeignete Lebensräume. Teerstraßen können überwunden werden, gößere ungeeignete Flächen werden jedoch nicht überquert. Somit können völlig isolierte Vorkommen rasch erlöschen.",Zahn & Hansbauer 2019; Blanke 2021,Lacerta agilis,kurzcharakteristik_lebenszyklus_jungtiere
,"Das Aktivitätszentrum bilden die Tages- und Nachtverstecke und die daran angrenzenden Sonnenplätze. Hier verbringen sie die meiste Zeit, häufig auch zusammen mit anderen Zauneidechsen, und starten von hier aus zu ihren Beutezügen und zur Partnersuche.  Da Zauneidechsen wechselwarmsind, benötigen sie innerhalb ihres Revieres ein Mosaik von Strukturen für die Thermoregulation. Von sonnig bis schattig sollten möglichst hohe Temperaturgradienten auf kleinem Raum vorhanden sein. Als Rückzugsquartier für die Nacht werden u.a. unterirdische Baue in Erd- und Felsspalten (z.B. Kleinsäugerbaue), Totholzspalten, unter Laub oder Trockenmauern genutzt. Die Nahrungssuche erfolgt meist auf relativ offenen Flächen mit lückiger oder kurzgrasiger Vegetation, die eine gewisse Deckung bietet, weniger auf ganz freiem Boden. Wasser wird über Tau oder Regen aufgenommen, aber auch flache Wasserstellen werden gerne zum Trinken aufgesucht. ",Zahn & Hansbauer 2019; Blanke 2021,Lacerta agilis,kurzcharakteristik_lebenszyklus_adulte
,"Das Überwinterungsquartier befindet sich innerhalb des Sommerreviers und wird aufgesucht, sobald ausreichend Energiereserven angelegt worden sind. Bei den Männchen ist das meist ab Anfang September, bei Juvenilen manchmal auch erst Mitte Oktober. bis Anfang März/Anfang April (witterungsabhängig).",Zahn & Hansbauer 2019; Blanke 2021,Lacerta agilis,kurzcharakteristik_lebenszyklus_uberwinterung
,Maximale Lebenserwartung (in Gefangenschaft): 15 Jahre,,Lacerta agilis,kurzcharakteristik_lebenszyklus_alter
,URL einfügen,,Lacerta agilis,kurzcharakteristik_lebenszyklus
,"Die Zauneidechse hat zahlreiche Feinde, u.a. Marder, Wiesel, Fuchs, Ratte, Igel, Hühner, Greif- und Rabenvögel (z.B. Turmfalke, Elster, Krähen), Kreuzotter. Jungtiere werden auch von Singvögeln, Spinnen, Kröten oder räuberischen Insekten erbeutet. Die Eier werden u.a. von Laufkäfern und Maulwurfsgrillen gefressen. Im Siedlungsbereich sind Hauskatzen bedeutende Prädatoren. In machen Gebieten kann die Schlingnatter ein bestandslimitierender Faktor sein.",Zahn & Hansbauer 2019; Blanke 2021,Lacerta agilis,kurzcharakteristik_feinde_natuerliche_gegenspieler
,"Gefährdung vor allem durch Verlust der Lebensräume durch Verkleinerung und Zerschneidung der vorhandenen Habitate, Verlust von Randstrukturen, Überbauung von Brachen, Bodenversiegelung und Entfernen von Kleinstrukturen durch Ausräumen der Landschaft.",Zahn & Hansbauer 2019;  Blanke 2021,Lacerta agilis,kurzcharakteristik_gefaehrdung_und_rechtlicher_status_gefaehrdung
,Kurzfristiger und Langzeit Bestandstrend: starker Rückgang; Erhaltungszustand: ungünstig - unzureichend,RL Gremium 2020,Lacerta agilis,kurzcharakteristik_gefaehrdung_und_rechtlicher_status_populationstrend
,RL D (2020): Vorwarnliste; RL BY (2019): gefährdet,RL Gremium 2020; BfN 2019,Lacerta agilis,kurzcharakteristik_gefaehrdung_und_rechtlicher_status_gefaehrdungseinschaetzung_rote_liste
,Nach Bundesnaturschutzgesetz streng schützte Art.,,Lacerta agilis,kurzcharakteristik_gefaehrdung_und_rechtlicher_status_rechtlicher_status
,Die durch den Klimawandel bedingten wärmeren Sommer könnten langfristig zu einer Arealausweitung der Zauneidechse in bisher klimatisch ungünstigere Gebiete (v.a. im Norden des Verbreitungsgebietes) führen.,,Lacerta agilis,kurzcharakteristik_einfluss_des_klimawandels_einfluss_des_klimawandels
,"Beim Sonnenbaden gut zu beobachten, inbesondere Männchen und trächtige Weibchen, die sich oft ausdauernd sonnen. Während der Paarungszeit sind Männchen oft relativ unaufmerksam und in ihrem Prachtkleid leicht zu entdecken. Schlüpflinge sind ab Ende Juli zu beobachten.",,Lacerta agilis,bedeutung_fuer_den_menschen_wahrnehmung_wahrnehmung
,"Werden die notwendigen Kleinstrukturen bereitgestellt, können schon kleinste, nur wenige Quadratmeter große Flächen, wie z.B. kleine Hausgärten, ausreichen, um einen neuen Lebensraum für Zauneidechsen zu schaffen. ",,Lacerta agilis,bedeutung_fuer_den_menschen_wahrnehmung_erhoehung_des_naturerlebens
,"Vor allem bei Kindern sehr beliebt. Daher ist die Zauneidechse bestens geeignet, Kinder für die Bedürfnisse von Tieren zu sensibilisieren und ihr Interesse für die Natur zu wecken.",,Lacerta agilis,bedeutung_fuer_den_menschen_nutzen_und_konflikte_nutzen
,"Generell sind Zauneidechsen gegenüber Menschen nicht sehr störungsanfällig. Hauskatzen stellen jedoch im Siedlungsbereich eine ernsthafte Bedrohung für Zauneidechsen dar und können ein limitierender Faktor für deren Ansiedlung sein. Sie sind nicht nur deren Hauptfeinde, auch werden die von Zauneidechsen zur Eiablage genutzen Flächen gerne als Katzenklo genutzt und werden somit unbrauchbar. Gefahr droht auch durch den Einsatz von Mährobotern und durch Fallen wie Schächte und Gullys.",Zahn & Hansbauer 2019;  ,Lacerta agilis,bedeutung_fuer_den_menschen_nutzen_und_konflikte_konflikte
,"Ab März kommen die Zauneidechsenmännchen aus ihren Winterquartieren. Die Paarungsaktivitäten beginnen im April und halten bis Juni an. In dieser Zeit kann es auch zu Kämpfen zwischen Männchen kommen, die allerdings meist harmlos verlaufen. ",Zahn & Hansbauer 2019; ,Lacerta agilis,kritische_standortfaktoren_nach_lebensphasen_balz_und_paarung_balz
,,,Lacerta agilis,kritische_standortfaktoren_nach_lebensphasen_balz_und_paarung_paarung
,"Für das Gelege sollte das Bodensubstrat locker, gut drainiert, durchlüftet und grabbar sein. Sand wird gerne angenommen, aber auch Sand-Kies-Gemische oder andere lockere Substrate können geeignet sein. Das bevorzugte Substrat kann sich regional unterscheiden. Die Fläche für die Eiablage sollte pro Brutplatz ca. 1-2 m2 groß  und mind. 30cm, besser 50-70cm tief sein. Die ideale Bodenfeuchte liegt bei ca. 5%, süd- bis südwestexponierte Lagen werden bevorzugt.",Zahn & Hansbauer 2019; ,Lacerta agilis,kritische_standortfaktoren_nach_lebensphasen_brut_und_aufzucht_brut
,"Die ersten Jungtiere schlüpfen ab Mitte Juli, die Hauptschlupfzeit liegt Mitte August bis Anfang September Die Jungtiere sind nach dem Schlüfen sofort selbstständig. ",Zahn & Hansbauer 2019; Blanke 2021,Lacerta agilis,kritische_standortfaktoren_nach_lebensphasen_brut_und_aufzucht_aufzucht
,Für die Ausbreitung benötigen Jungtiere geeignete Wanderkorridore (siehe allgemeine Habitateigenschaften) über die sie von ihrem Geburtsort zu neuen geeigneten Besiedlungsräumen gelangen können. ,,Lacerta agilis,kritische_standortfaktoren_nach_lebensphasen_jungtiere_habitatanforderungen
,"Die Jungtiere gehen sofort nach dem Schlüpfen selbstständig auf die Jagd. Erbeutet werden hauptsächlich kleinste Kerbtiere und deren Larven, winzige Spinnen und junge Schnecken. ",Blanke 2021,Lacerta agilis,kritische_standortfaktoren_nach_lebensphasen_jungtiere_nahrung
,Insbesondere Jungtiere haben viele Fressfeinde und benötigen somit sichere Versteck- und Rückzugsmöglichkeiten in unmittelbarer Nähe des Schlüpf- und Nahrungsgebiets (siehe auch Adulte).,Blanke 2021,Lacerta agilis,kritische_standortfaktoren_nach_lebensphasen_jungtiere_fressfeinde_gefaehrdungen
,"Zur Thermoregulation sollten Sonnenplätze mit unterschiedlicher Exposition (Ost, West und Süd) an windgeschützten Stellen zur Verfügung stehen, z.B. auf Totholz, Steine, Zaunpfosten, trockene Vegetation (Laub, Altgras etc.). Gut geeignet sind alle Materialien die sich rasch erwärmen, schnell abtrocknen, gegen kalten Untergrund isolierend und wärmespeichernd sind (Holz > trockene Vegetation > Steine). ",Zahn & Hansbauer 2019,Lacerta agilis,kritische_standortfaktoren_nach_lebensphasen_adulte_habitatanforderungen
,"Ernährt sich räuberisch von Insekten und anderen Gliederfüßern, aber auch von Regenwürmer und kleineren Schnecken. Bei der Nahrungswahl nicht sehr wählerisch und sehr flexibel, u.a. Käfer und deren Larven, Fliegen Heuschrecken, Spinnen, Raupen und Asseln",,Lacerta agilis,kritische_standortfaktoren_nach_lebensphasen_adulte_nahrung
,"Als Schutz vor Fressfeinden benötigt die Zauneidechse ausreichend Deckungen im Umkreis von max. 70-100 cm um die Sonnenplätze und die Nahrungsgebiete. Bevorzugt werden Verstecke in Vegetation mit ca. 75% Bodendeckung, z.B. Gebüsche, Gräser, Krautschicht, Laub, aber auch zwischen Steinen, Totholz etc. Dabei werden Altholzhaufen gegenüber Stein- und reinen Reisighaufen bevorzugt, wobei vermutlich das bessere Deckungsangebot durch die abstehenden Äste eine Rolle spielt. Das Pflanzen von Dornensträuchern oder das Anbringen von Drahtgestell kann zustätzlichen Schutz bieten.",Blanke 2021; Zahn 2017; Bannert & Kühnel 2017,Lacerta agilis,kritische_standortfaktoren_nach_lebensphasen_adulte_fressfeinde_gefaehrdungen
,"Überwinterung als Adulttier in Erd- und Felsspalten, Kleinsäugerbauen, selbstgegrabenen Röhren (nur im lockeren Boden). Das Winterquartier sollte trocken, isoliert und frostfrei sein. Häufig liegt es an Hangbereichen mit südlicher Exposition. Auch zeitweises Einfrieren des Körpers können Eidechsen überstehen.",Zahn & Hansbauer 2019; Blanke 2021,Lacerta agilis,kritische_standortfaktoren_nach_lebensphasen_uberwinterung_uberwinterung
,"Der Kopf der Zauneidechse ist von dem eher kräftigen Körper mehr oder weniger deutlich abgesetzt und insbesondere bei Männchen sehr massig. Der Schwanz ist relativ dick und verjüngt sich nur langsam. Die Schwanzschuppen sind in deutliche Wirtel gegliedert und auf der Oberseite stark gekielt. 
Die Grundfarbe von Zauneidechsen ist stets braun. Der Rücken wird durch zwei sandfarbene (Parietal-)Bänder von den Körperseiten abgesetzt. Auf dem Rücken verlaufen drei mehr oder weniger stark unterbrochene Linienbänder. Die weißen Striche und Flecken sind oft von dunklen Flecken umrahmt. Diese können sich, wie auch die Grundfarbe, recht schnell verändern. Im Gegensatz dazu bleiben die weißen Rückenpunkte und Linien das ganze Leben lang gleich und können somit zur individuellen Identifikation von Tieren genutzt werden.  
Die Männchen weisen grüne Flanken und eine grüne Kehle auf. Zur Paarungszeit ist dies meist ein intensives Smaragdgrün, außerhalb der Paarungszeit erscheint es eher verwaschen bis bräunlich-grün. Der Rücken ist braun bis schwarzbraun mit teils hellen schwarzgeränderten Flecken ('Augenflecken'). Die Unterseite ist grünlich mit schwarzen Punkten oder Flecken. 
Die Oberseite der Weibchen ist braun bis graubraun mit einem dunklen Rückenband und meist dunklen Seitenstreifen, dunklen und weißen Flecken (oft auch als Augenflecken) und dazwischen helle Streifen. Die Unterseite ist gelblich bis beige, jedoch nicht immer gefleckt.. 
Subadulte besitzten eine ähnliche Färbung wie die Weibchen. Die Grundfarbe ist braun mit dunklen Partien und sehr auffälligen Augenflecken. Der Bauch ist gelblich bis grünlich.
Die Weibchen und Subadulte ähneln Waldeidechsen, sind aber durch die Augenflecken eindeutig von diesen zu unterscheiden.
Neben den sehr variablen, aber dennoch typischen Färbungen kommen auch weniger typische Farbvarianten vor: Bei der mäßig häufigen 'erythronotus' (Rotrücken-) Variante ist der Rücken einfarbig rotbraun, die Flanken sind jedoch meist normal gefärbt. Bei den sog. 'Schwärzlingen' ist der ganze Körper sehr dunkel, wobei die charakteristischen Zeichnungselemente meist schwach durchscheinen.",Schulte 2013; Blanke et al. 2020,Lacerta agilis,weitere_informationen_aussehen_und_koerperbau_aussehen_und_koerperbau
,In Deutschland ist ca. 1/10 des Weltbestandes der Unterart Lacerta agilis agilis beheimatet und liegt zudem im Zentrum des Verbreitungsareals. Somit ist Deutschland für die weltweite Erhaltung dieser Nominatunterart in hohem Maße verantwortlich.,Blanke et al. 2020,Lacerta agilis,weitere_informationen_verbreitung_habitat_und_raumansprueche_habitat_habitatbesonderheiten
,"Die Jagd erfolgt durch aktives Umherstreifen. Dabei werden Beutetiere anhand ihres Geruches (durch Züngeln) und ihrem Aussehen erkannt. Die Beute wird mit dem Maul gepackt. Kleinere Tiere werden sofort verschluckt, größere erst nach mehrmaligem Nachfassen. Auch Totschütteln kann beobachtet werden. Zauneidechsen sind Nahrungsopportunisten, die ihr Beutespektrum flexibel der jeweiligen Witterung und der Verfügbarkeit anpassen. Im Frühjahr werden gerne Käfer und deren Larven gefressen, im Sommer u.a. Heuschrecken, Spinnen und Raupen. Ameisen, Asseln und Marienkäfer werden dagegen eher gemieden. ",Zahn & Hansbauer 2019,Lacerta agilis,weitere_informationen_nahrung_nahrung
,"Während der Paarungszeit versuchen männchliche Zauneidechsen bei Begegnung Artgenossen zu vertreiben. Zunächst mit Drohgebärden, ggf. gefolgt von meist riturellen Kämpfen, bei denen sich die Männchen gegenseitig am Kopf festbeißen und schütteln. Zur Beschwichtigung „treteln“ Zauneidechsen, indem sie den Oberkörper aufstellen und mit den Vorderfüßen in der Luft scharren. Nach der Paarungszeit  werden Artgenossen toleriert, und Zauneidechsen sind häufig auch gesellig anzutreffen. 
Zu Beginn der Paarungszeit sind die das Winterquartier erst später verlassenden Weibchen (im Gegensatz zu den Männchen) häufig noch nicht gehäutet. Sich annähernde Männchen werden dann mit heftigen Bissen vertrieben. Erst nach der ersten Häutung sind die Weibchen paarungbereit. Sie wählen die Männchen, wobei größere Männchen anscheinend bevorzugt werden. Bei der Balz verfolgt das Männchen ein Weibchen und beißt es in den Schwanz, woraufhin beide nebeneinander herlaufen (Paarungsmarsch). Dabei verlagert das Männchen seinen Biss immer weiter nach vorne, bis es die Flanke erreicht und die eigentliche Paarung erfolgt. Das Männchen bleibt nach der Paarung of noch einige Tage in der Nähe des Weibchens und versucht andere Männchen zu vertreiben. Eidechsenpaare sind insbesonders im Mai häufig zu beobachten.",Zahn & Hansbauer 2019; Blanke et al. 2020; Blanke 2021,Lacerta agilis,weitere_informationen_lebenszyklus_balz_und_paarung
,"Zauneidechsen betreiben keine Brutpflege. Die mikroklimatischen Verhältnisse, insbesondere die Wärme und Feuchte sind daher entscheiden für den Bruterfolg. Am Eiablageplatz sollte eine gewisse Bodenfeuchte vorhanden sein. Eier können anscheinend mehrfaches Trockenfallen überstehen, dadurch verlängert sich jedoch die Entwicklungszeit. Dauerhaftes völliges Austrocknen und auch dauerhafte Nässe überstehen die Gelege nicht. Der optimale Temperaturbereich liegt bei ca. 27℃.
Die Eier werden in Deutschland von Ende Mai bis Anfang August an sonnenbeschienenen, vegetationsfreien Stellen 10 bis 20 cm tief in selbstgegrabenen Löchern abgelegt. Das Graben der Nester erfolgt zum Teil auch tagsüber, die Eiablage selber erfolgt in der Dämmerung oder Nachts. Zur Eiablage werden aber auch vorhandene Strukturen wie verlassene Kleinsäugerbauten und andere Hohlräume genutzt. Die Eingänge liegen meist unter Steinen, Brettern, Blechen usw.
Bei den Sommergelegen handelt es sich entweder um Eier von Weibchen, die ihr Winterquartier erst spät verlassen haben, oder um Zweitgelege. Letztere erfolgen jedoch nur bei guter Witterung und reichem Nahrungsangebot.
Gelege bestehen aus 4 bis 15 Eiern. Je nachdem wie gleichmäßig die Bedingungen am Eiablageplatz sind sowie nach Witterung schlüpfen die Jungen nach 6 bis 10 Wochen. Früher schlüpfende Eidechsen haben eine bessere Überlebenschance, da sie vor der Überwinterung mehr Zeit zum Fressen und Wachsen haben. Der Schlupfvorgang dauert je nach Temperatur und Witterung einige Stunden bis über einen Tag. Frisch geschlüpfte Zauneidechsen sind einschließlich Schwanz ca. 45-65 mm lang und wiegen 0,45-0,55 g",Zahn & Hansbauer; Blanke et al. 2020; Blanke 2021; Hofer 2005,Lacerta agilis,weitere_informationen_lebenszyklus_brut_und_aufzucht
,"Jungtiere häuten sich mehrmals pro Monat, da sie noch wachsen. Sie sind nach der 2. Überwinterung geschlechtsreif. Da adulte Zauneidechsen extrem ortstreu sind, erfolgt die Ausbreitung der Zauneidechse ausschließlich über die Jungtiere. Diese entfernen sich jedoch auch selten mehr als 30 m von ihrem Schlupfort. Somit werden neugeschaffende Lebensräume nur sehr langsam besiedelt.",Zahn & Hansbauer 2019; Blanke 2021,Lacerta agilis,weitere_informationen_lebenszyklus_jungtiere
,"Der Aktivitätsraum von Zauneidechsen liegt bei etwa 1256m2,. Dies entspricht einem Radius von 20m. Er kann jedoch je nach Habitat, Witterung und Individualität wesentlich kleiner oder auch größer ausfallen.
Zauneidechsen sind tagaktiv. Sie klettern wenig. Daher werden Steile Hänge oder Mauern nur am Fuß genutzt.
Wie alle Reptilien sind Zauneidechsen wechselwarme Tiere, die ihre Körpertemperatur vor allem durch ihr Verhalten steuern. Dazu benötigen sie einerseits Wärme (Sonnenplätze) um den Kreislauf hochzufahren, andererseits aber auch kühlere Rückzugsräume, die sie bei zu hohen Temperaturen aufsuchen können. Zur Thermoregulation sind mikroklimatisch variable Strukturen mit möglichst hohen Temperaturgradienten auf kleinem Raum vorteilhaft. Die optimale Körpertemperatur der Tiere liegt bei ca. 38° C, eine Lufttemperatur von > 35° C im Schatten meiden sie.
In der Regel sonnen sich Zauneidechsen morgens oder vormittags, sowie am Spätnachmittag, z.B. auf Steinen, Trockenmauern oder Holz. Strukturen aus Holz (Baumstämme, Baum- oder Wurzelstöcke, Totholzhaufen und -hecken) werden zum Sonnen anscheinend bevorzugt. Bei extremer Witterung (Hitze, Regen) verkriechen sich die Tiere in einem Unterschlupf, z.B. in Hohlräumen unter Wurzeln, Steinen oder in Mauern oder Erdlöchern. Gemäßigte Temperaturen werden stark bevorzugt (warm statt heiß), mit Kälte kommen sie aber notfalls gut zurecht und können sogar kurzzeitiges Einfrieren unbeschadet überstehen.
Erwachsene Tiere häuten sich mehrmals jährlich (etwa alle 4 Wochen), die erste Häutung findet nach der Winterruhe statt, die letzte kurz vor der Überwinterung. 
Von Räubern oder Menschen ergriffene Eidechsen versuchen durch ein Abwerfen ihres Schwanzes zu entkommen ('Autonomie'). Der abgeworfene Schwanz bewegt sich weiter heftig und lenkt so den Feind ab. Das Abwerfen des Schwanzes kann zwar lebensrettend sein, jedoch verlieren die Eidechsen dadurch an Beweglichkeit und Schnelligkeit und auch die im Schwanz gelagerten Fettreserven. Die kann besonders kurz vor der Winterruhe problematisch sein. Wenn die Tiere überlegen, wird ein kürzere, anders gefärbter Schwanz nachgebildet.",Zahn & Hansbauer 2019; Blanke 2021; Laufer 2014,Lacerta agilis,weitere_informationen_lebenszyklus_adulte
,"Ein früher Rückzug ins Winterquartier ist bei Zauneidechsen ein gutes Zeichen. Es bedeutet, dass die Tiere frühzeitig ausreichend Energiereserven sammeln konnen. Tiere, die im Sommer ihren Schwanz verloren haben, ziehen sich dagegen meist erst später zurück. Auch in Jahren mit ungünstigen Witterungsverhältnissen (sowohl kühle und verregnete, als auch trockene und heiße Sommer) erfolgt die Winterruhe erst verspätet. Männchen und Jungtiere verlassen das Winterquartier ca. 2-3 Wochen vor den Weibchen.",Zahn & Hansbauer2019; Blanke 2021,Lacerta agilis,weitere_informationen_lebenszyklus_uberwinterung
,Die Zauneidechse ist durch viele unterschiedliche Ursachen gefährdet. So führt u.a. die Intensivierung der Land- und Forstwirtschaft und Flurbereinigungen zum Verlust von den für die Zauneidechse wichtigen Saum- und Übergangsbereichen. Im Siedlungsbereich führt starke Bodenversiegelung zum Verlust von wichtigen Habitaten. ,Zahn & Hansbauer 2019;  Blanke 2021,Lacerta agilis,weitere_informationen_gefaehrdung_gefaehrdung
,"Bei Pflege- und Instandhaltungsarbeiten an Böschungen und Rändern von Straßen, Feld- und Waldwegen und Abgrabungen ist darauf zu achten eventuell vorhandene Zauneidechsenpopulationen nicht zu gefährden. Auch bei den oft von Eidechsen besiedelten Bahnstrecken sollten die Instandhaltungsmaßnahmen verträglich gestaltet werden. Bei der Offenhaltung von Lebensräumen sollten tierschonende Verfahren, z.B. nicht-bodennahe Streifenmahd, eingesetzt werden. Durch die Schaffung und Erhaltung von Kleinststrukturen können vorhanden Habitate vernetzt und neue Lebensräume erschlossen werden.",Blanke 2021,Lacerta agilis,weitere_informationen_schutzmassnahmen_schutzmassnahmen
,"Bei Gefahr können Zauneidechsen etwa 1/3 des Schwanzes abstoßen, der dann zwar wieder nachwächst, jedoch weniger lang und leicht anders gefärbt.",,Lacerta agilis,weitere_informationen_wechselwirkung_mit_dem_menschen_wahrnehmung_konflikte_fruehere_beziehung
,"Blanke, I. 2021. Die Zauneidechse: Reptil des Jahres 2020/21. Deutsche Gesellschaft für Herpetologie und Terrarienkunde, Ed.. Deutsche Gesellschaft für Herpetologie und Terrarienkunde e.V. (DGHT), Salzhemmendorf.
Blanke, I., Seyring, M.. & Wagner, N.. (2020): Zauneidechse (Lacerta agilis). – In: Rote-Liste-Gremium Amphibien und Reptilien: Rote Liste und Gesamtartenliste der Reptilien (Reptilia) Deutschlands. – Naturschutz und Biologische Vielfalt 170 (3): 26–27. 
Zahn, A.. & Hansbauer, G. (2019): Zauneidechse Lacerta agilis (Linnaeus, 1758), S. 334–341. - In: Andrä, E., Assmann, O., Dürst, T., Hansbauer, G. & Zahn, A.: Amphibien und Reptilien in Bayern. – Stuttgart, Verlag Eugen Ulmer. 783 S.",,Lacerta agilis,literatur_literaturhinweise
