id,attribute_value,sources,species,attribute_slug
,"Die Jungvögel fressen zusätzlich zu Insekten und Spinnen auch Samen wie z.B. von Huflattich (Tussilago farfare), Löwenzahn (Taraxacum officinale), Gänsedistel (Sonchus spec.), Veilchen und Stiefmütterchen (Viola spec.) und Vogelmiere (Stellaria media).","Glutz von Blotzheim (1998); Bauer, Bezzel & Fiedler (2012)",Pyrrhula pyrrhula,kritische_standortfaktoren_nach_lebensphasen_jungtiere_nahrung
,Dichte Strauchvegetation und Bäume schützen die Jungtiere vor Katzen und  Mardern,Glutz von Blotzheim (1998),Pyrrhula pyrrhula,kritische_standortfaktoren_nach_lebensphasen_jungtiere_fressfeinde_gefaehrdungen
,Siehe Brut und Aufzucht,,Pyrrhula pyrrhula,kritische_standortfaktoren_nach_lebensphasen_adulte_habitatanforderungen
,"Gimpel ernähren sich vorwiegend pflanzlich. Je nach Jahreszeit dienen als Nahrung u.a. Knospen von z.B. Prunus, Pyrus oder Malus, frühblühenden Ziersträuchern (z.B. Cornus mas), Nadelgehölzen wie Fichte und Lärche. Samen aus fleischigen Früchten wie Holunder (Sambucus spec.), Weißdorn (Crataegus monogyna), Mehlbeere (Sorbus aucuparia, S. aria) Rubus-Arten und Heidelbeeren (Vaccinium). Kätzchen von Weiden (Salix) und Pappeln (Populus), Samen von Birken (Betula), Eschen (Fraxinius) und Ahorn (Acer) und Samen von Korbblütlern, z.B. Gänsedistel (Sonchus spec.), Greiskraut (Senecis spec.) und anderen Gräsern, Kräutern und Stauden. Zur Brutzeit bilden Insekten und Spinnen, z.B. Schnaken, auch für Erwachsene eine wichtige Ergänzung zur Samenkost.",Glutz von Blotzheim (1998),Pyrrhula pyrrhula,kritische_standortfaktoren_nach_lebensphasen_adulte_nahrung
,Ausreichend dichte Vegetation bietet Nahrung und sichert Deckung vor Fressfeinden.,"Bauer, Bezzel, Fiedler (2012)",Pyrrhula pyrrhula,kritische_standortfaktoren_nach_lebensphasen_adulte_fressfeinde_gefaehrdungen
,"Mit im Winter samentragenden Bäumen wie Birke, Esche, Ahorn kann die Überwinterung im Brutgebiet gesichert werden.","Bauer, Bezzel &Fiedler (2012)",Pyrrhula pyrrhula,kritische_standortfaktoren_nach_lebensphasen_uberwinterung_uberwinterung
,"Männchen: der  Hinterbauch, die Kloakengegend und die Unterschwanzdecken sind weiß. Steuerfedern wie Oberschwanzfedern sind schwarz mit dunkelblauen Metallglanz.  Die Augen haben eine schwarze Iris.                 ",Glutz von Blotzheim (1998),Pyrrhula pyrrhula,weitere_informationen_aussehen_und_koerperbau_aussehen_und_koerperbau
,"Im Siedlungsgebiet werden auch Friedhöfe, Kleingartenanlagen, große Baumgärten und auch kleine Gärten bewohnt. In samenarmen Wintern werden vor allem Gärten bevorzugt. ",Glutz von Blotzheim (1998),Pyrrhula pyrrhula,weitere_informationen_verbreitung_habitat_und_raumansprueche_habitat_habitatbesonderheiten
,"Der Erwerb von Nahrung findet auf Bäumen und Sträuchern statt oder in der Krautschicht und auf dem Boden. Ausgefallene Samen werden allerdings kaum vom Boden aufgepickt. Brennesselfruchtstände (Urtica dioica) werden vom Stängel oder vom Boden gepickt. Bevorzugt werden Greiskraut (Senecio spec.) und andere Compositen mit kleinen, weichen Samenständen, die häufig im Rüttelflug von den Pflanzen abgerissen und am Boden weiterbearbeitet werden. Großblütige Disteln werden gemieden. Knospen und Samen aus fleischigen Früchten sind von größerer Bedeutung als für andere Finkenvögel. Vielseitige pflanzliche Nahrung über das ganze Jahr mit saisonalen Präferenzen. Von Oktober bis Dezember werden hauptsächlich Samen von Stauden und Kräutern gefressen. Wenn der Vorrat an Samen (wie z.B. Birken, Eschen, Ahorn) im Frühjahr zur Neige geht, werden verschiedenste Knospen gefressen. Im Mai/Juni werden halbreife Krautsamen verzehrt sowie Blütenkätzchen u.a. von Eichen; ab Juli Samen von Beeren. Zur Brutzeit werden zusätzlich Wirbellose und auch Schnacken verspeist.  Mit zunehmenden Alter werden mehr Samen als Insekten gefressen. ",,Pyrrhula pyrrhula,weitere_informationen_nahrung_nahrung
,"Bei Ankunft am Brutplatz kommt es ab März zur Balz und Paarbildung, schon vor der Reviergründung . Alternativ hat die Paarbildung bereits im Sommer oder Herbst. des Vorjahres stattgefunden. Das Männchen zeigt potentielle Nistplätze, aus denen das Weibchen den endgültigen Nistplatz auswählt. Die Paarbindung ist sehr eng und für lange Zeit stabil.    ",,Pyrrhula pyrrhula,weitere_informationen_lebenszyklus_balz_und_paarung
,"Die Brutpaare brüten einzeln oder in lockeren Gruppen (3-4 Brutpaare) ohne erkennbares Territorialverhalten. Das Nest wird z.B. in jungen Fichten mit horizontalen Ästen direkt an den Stamm angelehnt. In älteren Nadelbäumen oder Laubbäumen mit ausreichender Verzweigung werden besonders dichte Bereiche bevorzugt.  Der Legebeginn ist u.a. abhängig von der Verfügbarkeit der Nahrung d.h. den diesjährigen Samen von Ende April bis  Ende August.  Die Gelegegröße beträgt 4-6 Eier. Die Eier sind oval bis birnenförmig mit hellblauer bis blaugrünlicher Grundfarbe mit wenigen dunkelbraunen bis fast schwarzen Punkten und violettgrauen Unterflecken.  Die Brutdauer beträgt 12-15 Tage. Das brütende Weibchen wird vom Männchen gefüttert. Nach dem Schlüpfen füttert zunächst das Weibchen das Futter, welches es vom Männchen erhält. Später füttern beide Eltern. Juvenile verlassen das Nest nach 15 bis 22 Tagen.                                                                ","Glutz von Blotzheim (1998); Bauer (1997); Bauer, Bezzel & Fiedler (2012)",Pyrrhula pyrrhula,weitere_informationen_lebenszyklus_brut_und_aufzucht
,"Eine Woche nach dem ersten Verlassen des Nestes folgen die Juvenilen den Eltern aus der Nestumgebung. Die Jungtiere sind 15-20 Tage nach Verlassen des Nestes selbstständig.  Jungvögel haben am Anfang keine schwarze Kopfplatte.  Der Schnabel ist bei Jungvögel noch fahlgelb, im November verfärbt er sich graubraun, im Dezember färbt er sich dann um in schwarz.      ",Glutz von Blotzheim (1998),Pyrrhula pyrrhula,weitere_informationen_lebenszyklus_jungtiere
,"Außerhalb der Brutzeit gibt es oft tägliche Schlafplatzwanderungen vom Siedlungsbereich in umliegende Wälder oder Parks. Der Gesang ist selten zu hören und relativ leise und besteht aus unregelmässigen Folgen von reinen Pfeiftönen. Der Gesang scheint nicht bedeutend zu sein für die Werbung um Weibchen oder für die Reviermarkierung. Der Ruf  ist  weich , ein abfallendes ""diü...diü"", welches besonders außerhalb der Brutzeit weit zu hören ist. ","Glutz von Blotzheim (1998), Bauer, Bezzel, Fiedler (2012)",Pyrrhula pyrrhula,weitere_informationen_lebenszyklus_adulte
,"Bei drohendem Nahrungsmangel im Winter sind die Vögel sehr mobil, um neue Nahrungsquellen zu finden.",Glutz von Blotzheim (1998),Pyrrhula pyrrhula,weitere_informationen_lebenszyklus_uberwinterung
,,,Pyrrhula pyrrhula,weitere_informationen_gefaehrdung_gefaehrdung
,Erhalt oder Verbesserung der Strukturvielfalt in der Kulturlandschaft. ,"Bauer, Bezzel, Fiedler (2012)",Pyrrhula pyrrhula,weitere_informationen_schutzmassnahmen_schutzmassnahmen
,"Der Gimpel wurde früher wegen des Knospenfraßes an Obstbäumen seit Jahrhunderten (in England seit dem 16. Jh) in einem gewissen Maße als Schädling betrachtet. Deshalb wurden Gimpel in Obstbeständen in den 1950er bis in die 1970er Jahre gefangen. Die tatsächlichen Schäden an den Obstbäumen wurden meist überwertet. Die farbenfrohen und lernfähigen Tiere wurden auch gefangen, um sie als Käfigvögel zu halten und ihnen Melodien beizubringen. ",Glutz von Blotzheim (1998); Schäffer (2012),Pyrrhula pyrrhula,weitere_informationen_wechselwirkung_mit_dem_menschen_wahrnehmung_konflikte_fruehere_beziehung
,"Bauer, Hans-Günther, Bezzel, Einhard, Fiedler, Wolfgang (2012),  Das Kompendium der Vögel Mitteleuropas, AULA-Verlag, Wiebelsheim ISBN 978-3-89104-758-3                                                                   Glutz von Blotzheim, Urs, Bauer Kurt M. (1998), Handbuch der Vögel Mitteleuropas Band 9, AULA-Verlag Wiesbaden, Band 14/2 Passeriformes (5.Teil), ISBN 3-89104-610-3                                                                                                                    Fünfstück, Hans-Joachim, Weiß, Ingo (2018) Die Vögel Mitteleuropas im Porträt, Quelle & Meyer Verlag, Wiebelsheim ISBN 978-3-494-01674-0                                                                                                                                            Schäffer, Norbert, Schäffer, Anita (2012) Gartenvögel AULA Verlag, Wiebelsheim ISBN 978-3-89104-769-9                                   www.nabu.de; www.lbv.de",,Pyrrhula pyrrhula,literatur_literaturhinweise
