id,attribute_value,sources,species,attribute_slug
,"In Mittel- und Nordeuropa treffen die Weibchen im Mai an den Sommerquartieren ein, um Mutterschaftskolonien zu bilden. Die Wochenstubenquartiere werden überwiegend in niedrigen Wohnhäusern in eher ländlicheren Regionen angelegt, häufig in der Nähe von Stillgewässern. Sie befinden sich meist in gut versteckten Spalten zwischen Balken, Brettern und Dachlatten im Dachfirst, sowie unter Verkleidungen von Schornsteinen, unter Fensterläden oder unter Holzwandverschalungen. Häufig werden mehrere nah beieinander gelegene Quartiere genutzt und diese oft gewechselt. ","Ineichen, Stefan et al. (2012): ""Stadtfauna, 600m Tierarten unserer Städte"", Haupt Verlag, 436 S., S. 410; ;
Rydell, Jens et al. (1994): “Vespertilio murinus”, The American Society of Mammalogists, No. 467, 6 S. S.2",Vespertilio murinus,kurzcharakteristik_lebenszyklus_brut_und_aufzucht
,"Nach 4-5 Wochen, meist Ende Juli/Anfang August sind die Jungtiere flugfähig und gehen zusammen mit ihren Müttern auf Insektenjagd. ","https://www.bfn.de/artenportraits/vespertilio-murinus#anchor-field-description, zuletzt geöffnet 01.11.23;
Rydell, Jens et al. (1994): “Vespertilio murinus”, The American Society of Mammalogists, No. 467, 6 S. S.2",Vespertilio murinus,kurzcharakteristik_lebenszyklus_jungtiere
,"Im Frühjahr und Spätsommer lebt die Zweifarbfledermaus einzeln oder in kleinen Gruppen, gelegentlich auch zusammen mit anderen Fledermausarten, wobei die Schlafplätze denen im Sommer ähneln; Die sommerlichen Mutterschaftskolonien umfassen 30-50 Weibchen; auch die Männchen können im Sommer große Kolonien bilden. ","Rydell, Jens et al. (1994): “Vespertilio murinus”, The American Society of Mammalogists, No. 467, 6 S. S.2;
Ineichen, Stefan et al. (2012): ""Stadtfauna, 600m Tierarten unserer Städte"", Haupt Verlag, 436 S., S. 410;
Dietz Christian (2007): ""Handbuch der Fledermäuse Europas und Nordwestafrikas : Biologie, Kennzeichen, Gefährdung"",  Kosmos, 399 S., S.315


",Vespertilio murinus,kurzcharakteristik_lebenszyklus_adulte
,"Zwischen November/Dezember und März/April überwintert die Zweifarbfledermaus in der Regel einzeln, seltener in kleinen Gruppen von bis zu 30 Tieren, in Spalten in Wänden und Dächern von bevorzugt höheren Gebäuden, nur selten in Höhlen und Bergwerken. ","Rydell, Jens et al. (1994): “Vespertilio murinus”, The American Society of Mammalogists, No. 467, 6 S. S.2
",Vespertilio murinus,kurzcharakteristik_lebenszyklus_uberwinterung
,Nachgewiesenes Höchstalter 12 Jahre,"Ineichen, Stefan et al. (2012): ""Stadtfauna, 600m Tierarten unserer Städte"", Haupt Verlag, 436 S., S. 410;  ",Vespertilio murinus,kurzcharakteristik_lebenszyklus_alter
,URL einfügen,,Vespertilio murinus,kurzcharakteristik_lebenszyklus
,"Schleiereule, Waldohreule, Uhu, Steinkauz, Raufußkauz; ",,Vespertilio murinus,kurzcharakteristik_feinde_natuerliche_gegenspieler
,"Verringerung des Insektenvorkommens durch Einsatz von Insektiziden und Herbiziden in der Land- und Forstwirtschaft;
Verringerung des Nahrungsangebots durch Reduzierung insektenreicher Landschaftsbestandteile (Feldgehölze, Säume, Brachen, Alleen und Baumreihen, Schilfzonen, Hochstaudenfluren), Trockenlegung von Feuchtgebieten, Erhöhung von Fließgeschwindigkeiten von Gewässern z.B. durch Flussbegradigungen, Uferbefestigungen
Beeinträchtigung der Gesundheit der Tiere (z.B. Schwächung, geringere Fruchtbarkeit) durch Holzschutzmittelbehandlungen an Verschalungen, Fassadenverkleidungen, Dachstühlen etc., oder Einsatz von Pestiziden;
","https://www.bfn.de/artenportraits/vespertilio-murinus#anchor-field-description, zuletzt geöffnet 01.11.23",Vespertilio murinus,kurzcharakteristik_gefaehrdung_und_rechtlicher_status_gefaehrdung
,"In einigen Teilen des Verbreitungsgebiets nehmen die Bestandszahlen zu, z. B. in Dänemark und den Niederlanden.","https://www.iucnredlist.org/species/22947/22071456#population, zuletzt geöffnet am 08.11.23",Vespertilio murinus,kurzcharakteristik_gefaehrdung_und_rechtlicher_status_populationstrend
,"Rote Liste D: Daten unzureichend
Rote Liste Europa: Nicht gefährdet","https://www.bfn.de/artenportraits/vespertilio-murinus#anchor-field-description, zuletzt geöffnet 01.11.23",Vespertilio murinus,kurzcharakteristik_gefaehrdung_und_rechtlicher_status_gefaehrdungseinschaetzung_rote_liste
,Besonders geschützt als wildlebende einheimische Säugetierart,BNatSchG §44 ,Vespertilio murinus,kurzcharakteristik_gefaehrdung_und_rechtlicher_status_rechtlicher_status
,Mögliche Ausbreitung des Verbreitungsgebietes  in Richtung Norden.,,Vespertilio murinus,kurzcharakteristik_einfluss_des_klimawandels_einfluss_des_klimawandels
,"Für uns Menschen auffälligste Balz von Fledermäusen; Balzgesänge auch für den Menschen noch gut hörbar; Erstaunlich spät im Jahr, vor allem in Oktober- und Novembernächten fliegen die Männchen viele Stunden lang regelmäßig auf Flugbahnen, die ein Gebiet mit einem Durchmesser von mehreren hundert Metern Ausdehnung umfassen können, entlang von Felswänden oder - als Ersatz - hohen Gebäuden; Bei diesen Balzflügen kann man beobachten, dass zwei Tiere sich verfolgen. Im Spätsommer und Herbst bei der Flugjagd in der Nähe von Straßenlaternen (insbesondere mit bläulich-weißem Licht). ","Ineichen, Stefan et al. (2012): ""Stadtfauna, 600m Tierarten unserer Städte"", Haupt Verlag, 436 S., S. 410; 
Dietz Christian (2007): ""Handbuch der Fledermäuse Europas und Nordwestafrikas : Biologie, Kennzeichen, Gefährdung"",  Kosmos, 399 S., S. 83 f.",Vespertilio murinus,bedeutung_fuer_den_menschen_wahrnehmung_wahrnehmung
,,,Vespertilio murinus,bedeutung_fuer_den_menschen_wahrnehmung_erhoehung_des_naturerlebens
,Biologische Stechmückenbekämpfung.,"""Fledermäuse und biologische Stechmückenbekämpfung"", in: https://www.kabsev.de/1/1_7/1_7_2/",Vespertilio murinus,bedeutung_fuer_den_menschen_nutzen_und_konflikte_nutzen
,"Verlust von Quartieren und Quartiersmöglichkeiten durch Renovierungs- und Sanierungsarbeiten an Gebäuden (Zerstörung der Hangplätze, Einflugöffnungen v.a. durch Fassadensanierungen und Wärmedämmungen) sowie Abriss der Gebäude;
Beeinträchtigung des Quartiers durch Anstrahlen der Ein- und Ausflugöffnungen;
Die Zweifarbfledermaus verhält sich relativ unstet und ist oft nur für kurze Zeit an einem Quartier zu finden. Sie reagiert hier auch sehr empfindlich auf Störungen. Daher sollte sichergestellt werden, dass die Quartiere an einem relativ ruhigen Ort angebracht werden. ","https://www.bfn.de/artenportraits/vespertilio-murinus#anchor-field-description, zuletzt geöffnet 01.11.23",Vespertilio murinus,bedeutung_fuer_den_menschen_nutzen_und_konflikte_konflikte
,"Balzflüge der Männchen finden entlang Steinbrüchen, Felswänden, auch über Waldgebieten statt. Innerhalb von Städten meist in der Umgebung hoher Gebäude.","https://www.bfn.de/artenportraits/vespertilio-murinus#anchor-field-description, zuletzt geöffnet 01.11.23;
Dietz Christian (2007): ""Handbuch der Fledermäuse Europas und Nordwestafrikas : Biologie, Kennzeichen, Gefährdung"",  Kosmos, 399 S., S. 317
",Vespertilio murinus,kritische_standortfaktoren_nach_lebensphasen_balz_und_paarung_balz
,Paarung erfolgt vermutlich in Fels- oder Gebäudespalten. ,"Rydell, Jens et al. (1994): “Vespertilio murinus”, The American Society of Mammalogists, No. 467, 6 S. S.2; https://www.bfn.de/artenportraits/vespertilio-murinus#anchor-field-description, zuletzt geöffnet 01.11.23;
Dietz Christian (2007): ""Handbuch der Fledermäuse Europas und Nordwestafrikas : Biologie, Kennzeichen, Gefährdung"",  Kosmos, 399 S., S. 317",Vespertilio murinus,kritische_standortfaktoren_nach_lebensphasen_balz_und_paarung_paarung
,,,Vespertilio murinus,kritische_standortfaktoren_nach_lebensphasen_brut_und_aufzucht_brut
,"Die Geburten finden Ende Mai bis Anfang Juli (meist Mitte Juni) statt. Die Weibchen benötigen während der Aufzucht insektenreiche Jagdgebiete. Diese müssen in der Nähe der Wochenstube liegen (< 3km Entfernung), da die Weibchen mehrmals pro Nacht von ihren Beuteflügen zurückkehren, um die Jungen zu säugen und zu wärmen. Die Jungen ernähren sich bis zum Flüggewerden ausschließlich von Muttermilch. Ab Mitte/Ende Juli lösen sich die Wochenstuben wieder auf. 
Um den Insektenreichtum in der unmittelbaren Umgebung der Quartiere zu fördern, sollte u.a. auf eine insektenfreundliche Bepflanzung mit einheimischen Bäumen/Sträuchern mit breiten blütenreichen Säumen geachtet werden. ","https://www.bfn.de/artenportraits/vespertilio-murinus#anchor-field-description, zuletzt geöffnet 01.11.23; 
Rydell, Jens et al. (1994): “Vespertilio murinus”, The American Society of Mammalogists, No. 467, 6 S. S.2;
Dietz Christian (2007): ""Handbuch der Fledermäuse Europas und Nordwestafrikas : Biologie, Kennzeichen, Gefährdung"",  Kosmos, 399 S., S. 317

",Vespertilio murinus,kritische_standortfaktoren_nach_lebensphasen_brut_und_aufzucht_aufzucht
,,,Vespertilio murinus,kritische_standortfaktoren_nach_lebensphasen_jungtiere_habitatanforderungen
,Wie auch die Adulttiere ernähren sich die flüggen Jungtiere von im Flug gefangenen Insekten.,"https://www.bfn.de/artenportraits/vespertilio-murinus#anchor-field-description, zuletzt geöffnet 01.11.23",Vespertilio murinus,kritische_standortfaktoren_nach_lebensphasen_jungtiere_nahrung
,Vor allem für gerade frisch ausgeflogene Jungtiere stellt die Kollision mit Fahrzeugen im Strassenverkehr eine große Gefahr da. Daher sollten Wochenstubenquartiere nicht in der Nähe von nachts stark befahrener Strassen liegen.,,Vespertilio murinus,kritische_standortfaktoren_nach_lebensphasen_jungtiere_fressfeinde_gefaehrdungen
,,,Vespertilio murinus,kritische_standortfaktoren_nach_lebensphasen_adulte_habitatanforderungen
,"Adulte Fledermäuse ernähren sich fast ausschließlich von Fluginsekten, die sie hauptsächlich im freien Luftraum über Gewässern und in Offenlandbereichen und Siedlungen in bis zu 40 m Höhe, im schnellen, geradliniegen Flug erbeuten. In Siedlungen findet die Jagd zum Teil auch an Strassenlaternen statt. Zu den bevorzugen Beutetieren gehören Zuckmücken, Mücken, Köcherfliegen, Nachtfalter, Käfer, Netzflügler und Blattläuse.","Rydell, Jens et al. (1994): “Vespertilio murinus”, The American Society of Mammalogists, No. 467, 6 S. S.2;
https://www.bfn.de/artenportraits/vespertilio-murinus#anchor-field-description, zuletzt geöffnet 01.11.23;
Dietz, Christian (2007): ""Handbuch der Fledermäuse Europas und Nordwestafrikas : Biologie, Kennzeichen, Gefährdung"",  Kosmos, 399 S., S. 317
",Vespertilio murinus,kritische_standortfaktoren_nach_lebensphasen_adulte_nahrung
,,,Vespertilio murinus,kritische_standortfaktoren_nach_lebensphasen_adulte_fressfeinde_gefaehrdungen
,"Die Überwinterungsgebiete können sowohl in der Nähe der Sommerlebensräume liegen (v.a. westliche Populationen, auch Deutschland), als auch in bis zu mehreren 100km Entfernung (v.a. im östlichen Verbreitungsgebiet). ","https://www.bfn.de/artenportraits/vespertilio-murinus#anchor-field-description, zuletzt geöffnet 01.11.23",Vespertilio murinus,kritische_standortfaktoren_nach_lebensphasen_uberwinterung_uberwinterung
,"Die Ohren haben 3-4 Querfalten am äußeren Rand und erstrecken sich nach ventral in einer breiten Falte bis unterhalb des Mundwinkels. Der Tragus (senkrechter Zapfen vor der Ohrmuschel) ist klein, kurz, stumpf und abgerundet. Die Flügel sind ziemlich schmal und spitz. Das Propatagium (Flughaut zwischen Handgelenk und Schulter) ist klein, die Seitenmembran (Plagiopatagium) beginnt an der Basis der äußeren Zehe. Der Kalkar erreicht mehr als die Hälfte der Schwanzlänge und es ist ein postkalkarialer Lappen vorhanden.","Ineichen, Stefan et al. (2012): ""Stadtfauna, 600m Tierarten unserer Städte"", Haupt Verlag, 436 S., S. 410",Vespertilio murinus,weitere_informationen_aussehen_und_koerperbau_aussehen_und_koerperbau
,"In Mittel- und Südosteuropa durch das saisonale Auftreten wandernder Tiere und lokale Vorkommen von Fortpflanzungskolonien kompliziertes Verbreitungsmuster. Umherstreifende bzw. wandernde Tiere können bis Finnland, Norwegen, Belgien, Großbritannien, auf Ölbohrinseln in der Nordsee und auf die Färöer-Inseln gelangen.",,Vespertilio murinus,weitere_informationen_verbreitung_habitat_und_raumansprueche_habitat_habitatbesonderheiten
,"Zu den bevorzugten Beutetieren zählen schwärmende, am Wasser lebende Insekten wie Zuckmücken (Chironomidae), Stechmücken (Culicidae), andere kleinere Dipteren (< 10 mm Körperlänge) und Köcherfliegen (Trichoptera), aber auch Nachtfalter, Netzflügler (Neuroptera) und Blattläuse (Aphidoidea). ","Ineichen, Stefan et al. (2012): ""Stadtfauna, 600m Tierarten unserer Städte"", Haupt Verlag, 436 S., S. 410;  https://www.bfn.de/artenportraits/vespertilio-murinus#anchor-field-description, zuletzt geöffnet 01.11.23;
Dietz Christian (2007): ""Handbuch der Fledermäuse Europas und Nordwestafrikas : Biologie, Kennzeichen, Gefährdung"",  Kosmos, 399 S., S. 317",Vespertilio murinus,weitere_informationen_nahrung_nahrung
,"Balzrufe der Männchen sehr auffällig und mit bloßen Ohr wahrnehmbar. Männchen hüpfen vor der Paarung ähnlich wie ein aufziehbarer Blechfrosch rhythmisch auf der Stelle. Die Spermatogenese erfolgt im Sommer, die Spermien werden dann bis zum nächsten Winter in der Nebenhodenhöhle gespeichert. ",,Vespertilio murinus,weitere_informationen_lebenszyklus_balz_und_paarung
,"Die Jungen werden hauptsächlich ab Ende Mai geboren, der Geburtszeitraum erstreckt sich jedoch von Ende April bis Mitte Juni. Am häufigsten werden Zwillinge, nur selten ein und ausnahmsweise auch drei Junge geboren. Neugeborene haben ein Gewicht von 2–2,5 g.","Dietz Christian (2007): ""Handbuch der Fledermäuse Europas und Nordwestafrikas : Biologie, Kennzeichen, Gefährdung"",  Kosmos",Vespertilio murinus,weitere_informationen_lebenszyklus_brut_und_aufzucht
,Im Oktober-Dezember sind die Jungtiere oberflächlich nicht mehr von den erwachsenen Tieren zu unterscheiden.,,Vespertilio murinus,weitere_informationen_lebenszyklus_jungtiere
,"Im Sommer findet eine Geschlechtertrennung statt, wenn sich die Weibchen zusammenfinden und maternitäre Kolonien bilden. In Europa sind solche Kolonien in der Regel klein und bestehen meist aus 10-100 Weibchen und ihren Jungen. In Teilen Europas scheinen die Weibchen von Sommerquartieren in kleinen Häusern in Vorstädten oder auf dem Land zu hohen Gebäuden in Städten zu ziehen, die im Herbst und Winter genutzt werden. In der Wochenstubenzeit leben die Männchen getrennt von den Weibchen in Einzelquartieren oder in Männchenkolonien von bis zu 300 Individuen, auch in Gebieten, die fernab der Wochenstuben liege. Sie können ab Ende April, häufiger ab Mitte Mai, in ihren Quartieren angetroffen werden. Sie wechseln ihre Quartiere sehr häufig und nutzen daher die einzelnen Quartiere vergleichsweise kurz: oft nur einige Tage, selten länger als vier Wochen. Sie nutzten bis zu sieben Quartiere im Verbund, entsprechend stark fluktuieren die Bestandszahlen an einzelnen Quartieren.  Schon im Juli lösen sich viele Männchenkolonien wieder auf. Sowohl die Männchenquartiere, als auch die sommerlichen Tagesquartiere von Einzeltieren befinden sich überwiegend in Spalten von Gebäuden. Sehr selten werden Einzeltiere in Nistkästen gefunden. 
Bei der Nutzung der Jagdgebiete wurden geschlechterspezifische Unterschiede beobachtet: Die Weibchen bevorzugen für die Jagd vor allem größere Wasserflächen oder deren Uferbereiche sowie Siedlungsgebiete (z.B. an Straßenlampen). Männchen hingegen jagen bevorzugt im Offenland (landwirtschaftlich genutzte Flächen, Wiesen) oder auch über und an Wäldern und Fließgewässern. Die Jagdgebiete der Männchen sind im Mittel mit 87 km2 wesentlich größer als die gemittelte Jagdgebietsgröße der Weibchen mit 16 km2. So sind auch die Jagdgebiete bei den Männchen im Mittel 5,7 km und bis zu 20,5 km vom Quartier entfernt, die der Weibchen liegen mit im Mittel 2,4 km und bis zu 6,2 km Entfernung wesentlich näher.","Rydell, Jens et al. (1994): “Vespertilio murinus”, The American Society of Mammalogists, No. 467, 6 S. S.2;
https://www.bfn.de/artenportraits/vespertilio-murinus#anchor-field-description, zuletzt geöffnet 01.11.23;
Dietz, Christian (2007): ""Handbuch der Fledermäuse Europas und Nordwestafrikas : Biologie, Kennzeichen, Gefährdung"",  Kosmos, 399 S., S. 317
",Vespertilio murinus,weitere_informationen_lebenszyklus_adulte
,Wegen ihrer späten Balz (bis in den Dezember) und Nachweisen in über 1.200 m Höhe gilt die Zweifarbfledermaus als kältetolerante Art. Bei einem starken Absinken der Temperatur in den Quartierspalten weichen die Tiere manchmal ins Innere von Gebäuden aus und werden dann oft aufgefunden.,,Vespertilio murinus,weitere_informationen_lebenszyklus_uberwinterung
,Vor allem bei den Wanderungen zwischen Sommer- und Winterquartieren stellen Windkraftanlagen und Straßen eine ernst zu nehmende Bedrohung dar (häufige Schlagopferart). Auch der Verlust von etablierten Balzgebieten durch die Umnutzung von Steinbrüchen kann vorhandene Populationen gefährden.,"Dietz Christian (2007): ""Handbuch der Fledermäuse Europas und Nordwestafrikas : Biologie, Kennzeichen, Gefährdung"",  Kosmos, 399 S., S. 315",Vespertilio murinus,weitere_informationen_gefaehrdung_gefaehrdung
,"Erhaltung/Neuschaffung von Quartieren vor allem Spaltenquartieren in und an Gebäuden und Bauwerken zur Verbesserung der Quartiermöglichkeiten (Wochenstuben-, Männchen- und Winterquartiere).
Erhaltung/Entwicklung von fledermaustauglichen Fassadenverkleidungen und Schutz der Kolonien durch Verwendung fledermausfreundlicher Holzschutzmittel bei Gebäudesanierungen.
Minimierung des Einsatzes von Insektiziden und Herbiziden in der Land- und Forstwirtschaft zur Sicherung der Nahrungsgrundlage und zur Erhaltung der Gesundheit der Zweifarbfledermaus.
Erhaltung/Entwicklung kleinräumig gegliederter Kulturlandschaften mit kleinen Parzellen, breiten blütenreichen Säumen, Kleingewässern, Brachflächen, Hecken und Feldgehölzen, die einen großen Insektenreichtum bieten.
Erhaltung/Entwicklung natürlicher und naturnaher Stillgewässer/Feuchtflächen im Offenland und Erhaltung und Anlage von Flachwasserzonen mit naturnahen Gewässerrandstreifen zur Sicherung/Verbesserung des Nahrungsangebotes.
Akzeptanzsteigerung bestehender Fledermausvorkommen in der Bevölkerung durch Quartierbetreuung und Öffentlichkeitsarbeit durch Fledermaussachverständige.
Berücksichtigung der Zweifarbfledermaus bei der Planung von Windkraftanlagen und gegebenenfalls zeitweise Abschaltung.
","Dietz Christian (2007): ""Handbuch der Fledermäuse Europas und Nordwestafrikas : Biologie, Kennzeichen, Gefährdung"",  Kosmos, 399 S., S. 315;
https://www.bfn.de/artenportraits/vespertilio-murinus#anchor-field-description, zuletzt geöffnet 01.11.23",Vespertilio murinus,weitere_informationen_schutzmassnahmen_schutzmassnahmen
,,,Vespertilio murinus,weitere_informationen_wechselwirkung_mit_dem_menschen_wahrnehmung_konflikte_fruehere_beziehung
,"Dietz, Christian (2007): ""Handbuch der Fledermäuse Europas und Nordwestafrikas : Biologie, Kennzeichen, Gefährdung"",  Kosmos
Ineichen, Stefan et al. (2012): ""Stadtfauna, 600m Tierarten unserer Städte"", Haupt Verlag
Rydell, Jens et al. (1994): “Vespertilio murinus”, The American Society of Mammalogists, No. 467","
",Vespertilio murinus,literatur_literaturhinweise
